_id,name,author,translator,artist,editor,publishing,year,series,collection,genre,weight,dimensions.length,dimensions.width,dimensions.height,rating,price,link
954135,Trolls,Spjut Stefan,Broome Agnes,,,Faber and Faber,2019,Susso,,,588,235,155,35,0,3038,https://www.labirint.ru/books/954135/
973088,Cities of the Red Night,Burroughs William S.,,,,Penguin,2010,Penguin Modern Classics,,,265,197,130,20,0,3082,https://www.labirint.ru/books/973088/
976921,Olympos,Simmons Dan,,,,Gollancz,2006,,,,510,180,110,50,0,3084,https://www.labirint.ru/books/976921/
875990,Мои друзья и другие чудовища,Леднева Светлана Александровна,,Кураш Елена,,Пять четвертей,2022,Искажения,,,372,219,148,15,9.27,790,https://www.labirint.ru/books/875990/
843966,Эльниум. Начало пути,Инкогнита Терра,,,,"Общенациональная ассоциация молодых музыкантов, поэтов и прозаиков",2021,Румбы фантастики,,Современная отечественная проза,934,217,154,40,0,1766,https://www.labirint.ru/books/843966/
881280,Ghost Lover,Taddeo Lisa,,,,Bloomsbury,2022,,,Фантастика и ужасы на английском языке,374,233,153,19,10,3100,https://www.labirint.ru/books/881280/
645436,Вампир Полумракс. Звездный пес,Булычев Кир,,Нитылкина Евгения,,Альфа-книга,2018,Большая иллюстрированная серия,,,526,242,172,17,9.29,394,https://www.labirint.ru/books/645436/
850730,Неслыханное нашествие,Лондон Джек,"Гурова Ирина Гавриловна, Облонская Раиса Ефимовна, Генкин В. И.",,,Текст,2022,Это фантастика!,,Классическая зарубежная проза,460,207,134,23,9.6,926,https://www.labirint.ru/books/850730/
709781,Даша и меч короля Артура,Гурова Анна Евгеньевна,,Ходыревская Анна,,Качели,2022,Приключения во времени,Ребенок читает сам,,390,245,200,12,8.82,915,https://www.labirint.ru/books/709781/
854101,Время против времени,"Абрамов Александр Иванович, Абрамов Сергей Александрович",,,,Престиж БУК,2022,,,Классическая отечественная проза,550,205,135,30,0,1621,https://www.labirint.ru/books/854101/
854103,"Корабль Иштар. Обители миража. Романы. ""Женщинна-лиса"". Рассказ",Меррит Абрахам Грейс,Грузберг А.,"Скороход А. С., Финлей В.",,Престиж БУК,2022,Ретро библиотека приключений и научной фантастики,,Классическая зарубежная проза,618,205,131,32,10,1621,https://www.labirint.ru/books/854103/
854102,Гибель шахмат. Повести и рассказы,Абрамов Александр Иванович,,Муханова Л.,,Престиж БУК,2022,Ретро библиотека приключений и научной фантастики,,Классическая отечественная проза,570,207,135,28,0,1621,https://www.labirint.ru/books/854102/
860581,Синий тайфун,"Абрамов Александр Иванович, Абрамов Сергей Александрович",,"Юдин В., Терещенко В., Гришин Н.",,Престиж БУК,2022,,,Классическая отечественная проза,636,210,135,35,0,1621,https://www.labirint.ru/books/860581/
865952,Женщина-лиса и голубая пагода. Черное колесо. Романы,"Меррит Абрахам Грейс, Ханнес Бок",Грузберг А.,Ханнес Бок,,Престиж БУК,2022,Ретро библиотека приключений и научной фантастики,,Классическая зарубежная проза,728,207,135,37,10,1621,https://www.labirint.ru/books/865952/
870079,Волшебный локон Ампары,Павлов Сергей Иванович,,"Хаберев В., Межевич А.",,Престиж БУК,2022,Ретро библиотека приключений и научной фантастики,,Современная отечественная проза,752,206,135,38,10,1621,https://www.labirint.ru/books/870079/
874612,Самый долгий день,Бондаренко Вячеслав Васильевич,,Никулушкин Дмитрий,,Престиж БУК,2022,Ретро библиотека приключений и научной фантастики,,"Исторический роман, Современная отечественная проза",512,205,130,25,10,1621,https://www.labirint.ru/books/874612/
896192,"Легенды Океании. Рассказы, поэзия, очерки",Масаинов Алексей Алексеевич,,,,Престиж БУК,2022,Ретро библиотека приключений и научной фантастики,,"Мемуары, Эпос и фольклор",622,206,133,32,0,1621,https://www.labirint.ru/books/896192/
903855,Невероятные детективы,Нестайко Всеволод,Сомов Я. Л.,,,Престиж БУК,2022,Ретро библиотека приключений и научной фантастики,,,590,200,135,25,0,1621,https://www.labirint.ru/books/903855/
